$n_0$,$n_1$,$n_2$,$n_3$,$n_4$,k,sample_label
0.06479999999999998,0.05159999999999998,0.45870000000000005,0.4215,0.0034,4,AML-01-001
0.14839999999999998,0.0242,0.06710000000000005,0.22339999999999993,0.5369,4,AML-02-001
0.14839999999999998,0.0242,0.06710000000000005,0.22339999999999993,0.5369,4,AML-02-001
0.10260000000000008,0.19109999999999994,0.21670000000000006,0.4896,NaN,3,AML-07-001
0.13929999999999998,0.13860000000000006,0.45109999999999995,0.271,NaN,3,AML-08-001
0.04789683799999997,0.20294749700000003,0.06662572899999997,0.48879336900000003,0.193736567,4,AML-11-001
0.2253,0.1806000000000001,0.10749999999999998,0.4866,NaN,3,AML-18-001
0.19940000000000002,0.13329999999999997,0.3872,0.2801,NaN,3,AML-19-001
0.3866000000000001,0.28359999999999996,0.021999999999999964,0.3078,NaN,3,AML-20-001
0.24629999999999996,0.08030000000000004,0.43979999999999997,0.21660000000000001,0.017,4,AML-25-001
0.1755,0.08860000000000001,0.06779999999999997,0.16610000000000003,0.502,4,AML-27-001
0.5923999999999999,0.16670000000000001,0.21760000000000002,0.0233,NaN,3,AML-29-001
0.6506000000000001,0.30979999999999996,0.004200000000000002,0.005300000000000003,0.0301,4,AML-30-001
0.4546,0.3093,0.0446,0.1915,NaN,3,AML-33-001
0.6109,0.3746,0.012100000000000001,0.0024,NaN,3,AML-35-001
0.8667000000000001,0.07100000000000001,0.0508,0.0115,NaN,3,AML-36-001
0.10899999999999999,0.017900000000000027,0.044399999999999995,0.8287,NaN,3,AML-43-001
0.4916,0.013899999999999968,0.4933,0.0012,NaN,3,AML-44-001
0.11839999999999995,0.08230000000000004,0.29480000000000006,0.5045,NaN,3,AML-47-001
0.2319,0.053100000000000036,0.019499999999999962,0.6955,NaN,3,AML-49-001
0.28640000000000004,0.15170000000000006,0.5451999999999999,0.0167,NaN,3,AML-50-001
0.38349999999999984,0.26700000000000007,0.2681,0.0814,NaN,3,AML-52-001
0.8967,0.0551,0.0366,0.0116,NaN,3,AML-53-001
0.3398,0.04510000000000003,0.38759999999999994,0.2275,NaN,3,AML-58-001
0.11499999999999999,0.2208,0.048900000000000055,0.6153,NaN,3,AML-59-001
0.06320000000000003,0.6233,0.2903,0.0232,NaN,3,AML-60-001
0.1944,0.13429999999999997,0.21340000000000003,0.4405,0.0174,4,AML-64-001
0.1944,0.13429999999999997,0.21340000000000003,0.4405,0.0174,4,AML-64-001
0.3649,0.03610000000000002,0.1785,0.37179999999999996,0.0487,4,AML-68-001
0.04979253100000003,0.09377593399999995,0.154356846,0.221161826,0.480912863,4,AML-72-001
0.40007124999999993,0.015675098,0.267545423,0.316708229,NaN,3,AML-80-001
0.454093235,0.08911313200000004,0.32902217199999995,0.127771461,NaN,3,AML-86-001
0.20392871599999995,0.01822600299999999,0.525718914,0.147833131,0.104293236,4,AML-93-001
0.08775894500000007,0.0035781549999999163,0.39811676100000004,0.510169491,0.000376648,4,AML-98-001
0.08775894500000007,0.0035781549999999163,0.39811676100000004,0.510169491,0.000376648,4,AML-98-001
0.16421052599999997,0.0,0.04400000000000004,0.549052632,0.242736842,4,AML-102-001
0.16421052599999997,0.0,0.04400000000000004,0.549052632,0.242736842,4,AML-102-001
0.2096049210000001,0.011828719999999904,0.13461083500000004,0.607523066,0.036432458,4,AML-103-001
0.6284941390000001,0.008115419000000013,0.06311992799999999,0.017132551999999968,0.283137962,4,AML-105-001
0.234906213,0.599794842,0.042057444,0.123241501,NaN,3,AML-108-001
0.22112303200000008,0.502438345,0.11077051699999999,0.165668106,NaN,3,AML-109-001
0.21589018299999996,0.139905713,0.10440931800000008,0.539794786,NaN,3,AML-111-001
0.1961159340000001,0.028247755999999957,0.6214506399999999,0.13682507,0.0173606,4,AML-115-001
0.6818454159999999,0.00838825700000001,0.15877771100000002,0.150988616,NaN,3,AML-116-001
0.486895161,0.055443549000000036,0.17842741899999998,0.279233871,NaN,3,AML-117-001
0.12731767600000005,0.05834363399999998,0.624721879,0.189616811,NaN,3,AML-119-001
